Student_ID,Grade_Level,Section,Total_Sessions,Present_Count,Absence_Count,Attendance_Rate,Absence_Frequency,Distinct_Absent_Days,First_Half_Attendance_Rate,Second_Half_Attendance_Rate,Attendance_Trend_Change,Lowest_Attendance_Subject,Lowest_Subject_Attendance_Rate
ENHS_SYN_0001,Grade 7,Section A,300,259,41,0.8633,0.1367,31,0.8667,0.86,-0.0067,Subject B,0.8333
ENHS_SYN_0002,Grade 7,Section A,300,267,33,0.89,0.11,25,0.92,0.86,-0.06,Subject E,0.85
ENHS_SYN_0003,Grade 7,Section A,299,226,73,0.7559,0.2441,43,0.76,0.7517,-0.0083,Subject C,0.6667
ENHS_SYN_0004,Grade 7,Section A,299,253,46,0.8462,0.1538,32,0.86,0.8322,-0.0278,Subject E,0.8
ENHS_SYN_0005,Grade 7,Section A,300,229,71,0.7633,0.2367,42,0.8067,0.72,-0.0867,Subject E,0.6833
ENHS_SYN_0006,Grade 7,Section A,299,230,69,0.7692,0.2308,46,0.7733,0.7651,-0.0082,Subject B,0.678
ENHS_SYN_0007,Grade 7,Section A,299,239,60,0.7993,0.2007,40,0.7785,0.82,0.0415,Subject E,0.7966
ENHS_SYN_0008,Grade 7,Section A,299,278,21,0.9298,0.0702,15,0.953,0.9067,-0.0464,Subject E,0.9
ENHS_SYN_0009,Grade 7,Section A,300,225,75,0.75,0.25,43,0.76,0.74,-0.02,Subject C,0.7167
ENHS_SYN_0010,Grade 7,Section A,299,269,30,0.8997,0.1003,26,0.8933,0.906,0.0127,Subject A,0.8333
ENHS_SYN_0011,Grade 7,Section A,298,274,24,0.9195,0.0805,21,0.9262,0.9128,-0.0134,Subject E,0.8667
ENHS_SYN_0012,Grade 7,Section A,299,243,56,0.8127,0.1873,41,0.8333,0.7919,-0.0414,Subject C,0.7833
ENHS_SYN_0013,Grade 7,Section A,300,264,36,0.88,0.12,29,0.8867,0.8733,-0.0133,Subject E,0.8333
ENHS_SYN_0014,Grade 7,Section A,299,271,28,0.9064,0.0936,21,0.8926,0.92,0.0274,Subject C,0.8667
ENHS_SYN_0015,Grade 7,Section A,300,278,22,0.9267,0.0733,19,0.92,0.9333,0.0133,Subject E,0.85
ENHS_SYN_0016,Grade 7,Section A,299,291,8,0.9732,0.0268,8,0.9732,0.9733,0.0002,Subject A,0.95
ENHS_SYN_0017,Grade 7,Section A,299,271,28,0.9064,0.0936,25,0.906,0.9067,0.0006,Subject B,0.8475
ENHS_SYN_0018,Grade 7,Section A,300,279,21,0.93,0.07,19,0.94,0.92,-0.02,Subject C,0.8833
ENHS_SYN_0019,Grade 7,Section A,298,237,61,0.7953,0.2047,44,0.7905,0.8,0.0095,Subject C,0.7167
ENHS_SYN_0020,Grade 7,Section A,299,272,27,0.9097,0.0903,24,0.92,0.8993,-0.0207,Subject C,0.85
ENHS_SYN_0021,Grade 7,Section A,300,259,41,0.8633,0.1367,32,0.8733,0.8533,-0.02,Subject C,0.8333
ENHS_SYN_0022,Grade 7,Section A,299,241,58,0.806,0.194,43,0.8,0.8121,0.0121,Subject D,0.7833
ENHS_SYN_0023,Grade 7,Section A,300,243,57,0.81,0.19,33,0.8333,0.7867,-0.0467,Subject A,0.7833
ENHS_SYN_0024,Grade 7,Section A,300,266,34,0.8867,0.1133,29,0.88,0.8933,0.0133,Subject C,0.8167
ENHS_SYN_0025,Grade 7,Section A,299,264,35,0.8829,0.1171,30,0.88,0.8859,0.0059,Subject A,0.85
ENHS_SYN_0026,Grade 7,Section A,299,229,70,0.7659,0.2341,46,0.7785,0.7533,-0.0252,Subject C,0.7
ENHS_SYN_0027,Grade 7,Section A,300,243,57,0.81,0.19,40,0.8533,0.7667,-0.0867,Subject A,0.75
ENHS_SYN_0028,Grade 7,Section A,299,244,55,0.8161,0.1839,33,0.8133,0.8188,0.0055,Subject A,0.7667
ENHS_SYN_0029,Grade 7,Section A,300,259,41,0.8633,0.1367,31,0.86,0.8667,0.0067,Subject E,0.8167
ENHS_SYN_0030,Grade 7,Section A,300,289,11,0.9633,0.0367,8,0.9533,0.9733,0.02,Subject B,0.9333
ENHS_SYN_0031,Grade 7,Section A,300,268,32,0.8933,0.1067,24,0.96,0.8267,-0.1333,Subject C,0.8667
ENHS_SYN_0032,Grade 7,Section A,300,257,43,0.8567,0.1433,37,0.84,0.8733,0.0333,Subject E,0.8167
ENHS_SYN_0033,Grade 7,Section A,300,232,68,0.7733,0.2267,41,0.76,0.7867,0.0267,Subject B,0.7333
ENHS_SYN_0034,Grade 7,Section A,300,262,38,0.8733,0.1267,30,0.86,0.8867,0.0267,Subject C,0.8333
ENHS_SYN_0035,Grade 7,Section A,299,243,56,0.8127,0.1873,38,0.7919,0.8333,0.0414,Subject C,0.7667
ENHS_SYN_0036,Grade 7,Section A,299,274,25,0.9164,0.0836,23,0.9262,0.9067,-0.0195,Subject E,0.8644
