Student_ID,Subject,Subject_Total_Sessions,Subject_Present_Count,Subject_Absence_Count,Subject_Attendance_Rate
ENHS_SYN_0001,Subject A,60,51,9,0.85
ENHS_SYN_0001,Subject B,60,50,10,0.8333
ENHS_SYN_0001,Subject C,60,54,6,0.9
ENHS_SYN_0001,Subject D,60,54,6,0.9
ENHS_SYN_0001,Subject E,60,50,10,0.8333
ENHS_SYN_0002,Subject A,60,55,5,0.9167
ENHS_SYN_0002,Subject B,60,52,8,0.8667
ENHS_SYN_0002,Subject C,60,55,5,0.9167
ENHS_SYN_0002,Subject D,60,54,6,0.9
ENHS_SYN_0002,Subject E,60,51,9,0.85
ENHS_SYN_0003,Subject A,59,50,9,0.8475
ENHS_SYN_0003,Subject B,60,41,19,0.6833
ENHS_SYN_0003,Subject C,60,40,20,0.6667
ENHS_SYN_0003,Subject D,60,49,11,0.8167
ENHS_SYN_0003,Subject E,60,46,14,0.7667
ENHS_SYN_0004,Subject A,59,51,8,0.8644
ENHS_SYN_0004,Subject B,60,56,4,0.9333
ENHS_SYN_0004,Subject C,60,49,11,0.8167
ENHS_SYN_0004,Subject D,60,49,11,0.8167
ENHS_SYN_0004,Subject E,60,48,12,0.8
ENHS_SYN_0005,Subject A,60,48,12,0.8
ENHS_SYN_0005,Subject B,60,50,10,0.8333
ENHS_SYN_0005,Subject C,60,44,16,0.7333
ENHS_SYN_0005,Subject D,60,46,14,0.7667
ENHS_SYN_0005,Subject E,60,41,19,0.6833
ENHS_SYN_0006,Subject A,60,49,11,0.8167
ENHS_SYN_0006,Subject B,59,40,19,0.678
ENHS_SYN_0006,Subject C,60,49,11,0.8167
ENHS_SYN_0006,Subject D,60,44,16,0.7333
ENHS_SYN_0006,Subject E,60,48,12,0.8
ENHS_SYN_0007,Subject A,60,48,12,0.8
ENHS_SYN_0007,Subject B,60,48,12,0.8
ENHS_SYN_0007,Subject C,60,48,12,0.8
ENHS_SYN_0007,Subject D,60,48,12,0.8
ENHS_SYN_0007,Subject E,59,47,12,0.7966
ENHS_SYN_0008,Subject A,60,56,4,0.9333
ENHS_SYN_0008,Subject B,60,58,2,0.9667
ENHS_SYN_0008,Subject C,59,54,5,0.9153
ENHS_SYN_0008,Subject D,60,56,4,0.9333
ENHS_SYN_0008,Subject E,60,54,6,0.9
ENHS_SYN_0009,Subject A,60,46,14,0.7667
ENHS_SYN_0009,Subject B,60,44,16,0.7333
ENHS_SYN_0009,Subject C,60,43,17,0.7167
ENHS_SYN_0009,Subject D,60,43,17,0.7167
ENHS_SYN_0009,Subject E,60,49,11,0.8167
ENHS_SYN_0010,Subject A,60,50,10,0.8333
ENHS_SYN_0010,Subject B,60,59,1,0.9833
ENHS_SYN_0010,Subject C,60,55,5,0.9167
ENHS_SYN_0010,Subject D,60,54,6,0.9
ENHS_SYN_0010,Subject E,59,51,8,0.8644
ENHS_SYN_0011,Subject A,58,54,4,0.931
ENHS_SYN_0011,Subject B,60,60,0,1.0
ENHS_SYN_0011,Subject C,60,53,7,0.8833
ENHS_SYN_0011,Subject D,60,55,5,0.9167
ENHS_SYN_0011,Subject E,60,52,8,0.8667
ENHS_SYN_0012,Subject A,60,49,11,0.8167
ENHS_SYN_0012,Subject B,59,52,7,0.8814
ENHS_SYN_0012,Subject C,60,47,13,0.7833
ENHS_SYN_0012,Subject D,60,48,12,0.8
ENHS_SYN_0012,Subject E,60,47,13,0.7833
ENHS_SYN_0013,Subject A,60,53,7,0.8833
ENHS_SYN_0013,Subject B,60,53,7,0.8833
ENHS_SYN_0013,Subject C,60,53,7,0.8833
ENHS_SYN_0013,Subject D,60,55,5,0.9167
ENHS_SYN_0013,Subject E,60,50,10,0.8333
ENHS_SYN_0014,Subject A,60,56,4,0.9333
ENHS_SYN_0014,Subject B,60,54,6,0.9
ENHS_SYN_0014,Subject C,60,52,8,0.8667
ENHS_SYN_0014,Subject D,59,56,3,0.9492
ENHS_SYN_0014,Subject E,60,53,7,0.8833
ENHS_SYN_0015,Subject A,60,56,4,0.9333
ENHS_SYN_0015,Subject B,60,55,5,0.9167
ENHS_SYN_0015,Subject C,60,57,3,0.95
ENHS_SYN_0015,Subject D,60,59,1,0.9833
ENHS_SYN_0015,Subject E,60,51,9,0.85
ENHS_SYN_0016,Subject A,60,57,3,0.95
ENHS_SYN_0016,Subject B,59,57,2,0.9661
ENHS_SYN_0016,Subject C,60,59,1,0.9833
ENHS_SYN_0016,Subject D,60,59,1,0.9833
ENHS_SYN_0016,Subject E,60,59,1,0.9833
ENHS_SYN_0017,Subject A,60,56,4,0.9333
ENHS_SYN_0017,Subject B,59,50,9,0.8475
ENHS_SYN_0017,Subject C,60,52,8,0.8667
ENHS_SYN_0017,Subject D,60,56,4,0.9333
ENHS_SYN_0017,Subject E,60,57,3,0.95
ENHS_SYN_0018,Subject A,60,55,5,0.9167
ENHS_SYN_0018,Subject B,60,58,2,0.9667
ENHS_SYN_0018,Subject C,60,53,7,0.8833
ENHS_SYN_0018,Subject D,60,54,6,0.9
ENHS_SYN_0018,Subject E,60,59,1,0.9833
ENHS_SYN_0019,Subject A,60,50,10,0.8333
ENHS_SYN_0019,Subject B,60,48,12,0.8
