Date,Total_Sessions,Present_Count,Absence_Count,Attendance_Rate
2026-08-03,2995,2623,372,0.8758
2026-08-04,2992,2602,390,0.8697
2026-08-05,2998,2609,389,0.8702
2026-08-06,2998,2619,379,0.8736
2026-08-07,2993,2537,456,0.8476
2026-08-10,2996,2587,409,0.8635
2026-08-11,2996,2636,360,0.8798
2026-08-12,2998,2619,379,0.8736
2026-08-13,2997,2660,337,0.8876
2026-08-14,2996,2569,427,0.8575
2026-08-17,2993,2592,401,0.866
2026-08-18,2997,2624,373,0.8755
2026-08-19,2994,2615,379,0.8734
2026-08-20,2991,2613,378,0.8736
2026-08-21,2992,2537,455,0.8479
2026-08-24,2994,2584,410,0.8631
2026-08-25,2996,2611,385,0.8715
2026-08-26,2993,2618,375,0.8747
2026-08-27,2994,2632,362,0.8791
2026-08-28,2996,2544,452,0.8491
2026-08-31,2995,2588,407,0.8641
2026-09-01,2995,2620,375,0.8748
2026-09-02,2998,2650,348,0.8839
2026-09-03,2998,2613,385,0.8716
2026-09-04,2994,2570,424,0.8584
2026-09-07,2994,2590,404,0.8651
2026-09-08,2990,2572,418,0.8602
2026-09-09,2998,2608,390,0.8699
2026-09-10,2996,2578,418,0.8605
2026-09-11,2996,2574,422,0.8591
2026-09-14,2999,2552,447,0.851
2026-09-15,2993,2594,399,0.8667
2026-09-16,2997,2620,377,0.8742
2026-09-17,2992,2629,363,0.8787
2026-09-18,2996,2562,434,0.8551
2026-09-21,2994,2577,417,0.8607
2026-09-22,2994,2587,407,0.8641
2026-09-23,2993,2629,364,0.8784
2026-09-24,2995,2619,376,0.8745
2026-09-25,2994,2570,424,0.8584
2026-09-28,2996,2610,386,0.8712
2026-09-29,2995,2617,378,0.8738
2026-09-30,2995,2626,369,0.8768
2026-10-01,2995,2598,397,0.8674
2026-10-02,2997,2590,407,0.8642
2026-10-05,2996,2572,424,0.8585
2026-10-06,2998,2605,393,0.8689
2026-10-07,2995,2593,402,0.8658
2026-10-08,2996,2580,416,0.8611
2026-10-09,2996,2542,454,0.8485
2026-10-12,2998,2575,423,0.8589
2026-10-13,2992,2601,391,0.8693
2026-10-14,2993,2646,347,0.8841
2026-10-15,2995,2602,393,0.8688
2026-10-16,2994,2567,427,0.8574
2026-10-19,2994,2557,437,0.854
2026-10-20,2993,2612,381,0.8727
2026-10-21,2997,2602,395,0.8682
2026-10-22,2993,2609,384,0.8717
2026-10-23,2992,2521,471,0.8426
