Grade_Level,Section,Total_Sessions,Absence_Count,Absence_Rate
Grade 10,Section A,14972,2118,0.1415
Grade 10,Section B,14983,2011,0.1342
Grade 10,Section C,14982,1911,0.1276
Grade 7,Section A,14975,2240,0.1496
Grade 7,Section B,14975,1718,0.1147
Grade 7,Section C,14967,1955,0.1306
Grade 8,Section A,14979,2070,0.1382
Grade 8,Section B,14970,2006,0.134
Grade 8,Section C,14978,1906,0.1273
Grade 9,Section A,14971,2016,0.1347
Grade 9,Section B,14977,1842,0.123
Grade 9,Section C,14971,2149,0.1435
