Pattern_Rank,Student_ID,Grade_Level,Section,Total_Sessions,Present_Count,Absence_Count,Attendance_Rate,Absence_Frequency,Distinct_Absent_Days,First_Half_Attendance_Rate,Second_Half_Attendance_Rate,Attendance_Trend_Change,Lowest_Attendance_Subject,Lowest_Subject_Attendance_Rate,Total_Observed_Weeks,Weeks_With_Absence,Proportion_Weeks_With_Absence,Longest_Consecutive_Days_With_Any_Absence,Highest_Absence_Weekday,Highest_Weekday_Absence_Rate
1,ENHS_SYN_0410,Grade 9,Section C,300,203,97,0.6767,0.3233,52,0.6467,0.7067,0.06,Subject D,0.6167,12,12,1.0,12,Monday,0.4
2,ENHS_SYN_0417,Grade 9,Section C,300,203,97,0.6767,0.3233,54,0.6867,0.6667,-0.02,Subject D,0.6167,12,12,1.0,18,Monday,0.4167
3,ENHS_SYN_0264,Grade 8,Section C,299,205,94,0.6856,0.3144,53,0.7133,0.6577,-0.0556,Subject E,0.6167,12,12,1.0,31,Monday,0.3667
4,ENHS_SYN_0452,Grade 10,Section A,300,209,91,0.6967,0.3033,50,0.7,0.6933,-0.0067,Subject B,0.6167,12,12,1.0,13,Friday,0.3667
5,ENHS_SYN_0494,Grade 10,Section A,300,209,91,0.6967,0.3033,50,0.6933,0.7,0.0067,Subject D,0.6,12,12,1.0,11,Friday,0.3667
6,ENHS_SYN_0162,Grade 8,Section A,300,210,90,0.7,0.3,49,0.7067,0.6933,-0.0133,Subject D,0.5833,12,12,1.0,14,Thursday,0.3833
7,ENHS_SYN_0208,Grade 8,Section B,300,210,90,0.7,0.3,49,0.7267,0.6733,-0.0533,Subject B,0.65,12,12,1.0,16,Thursday,0.3667
8,ENHS_SYN_0360,Grade 9,Section B,300,211,89,0.7033,0.2967,48,0.6667,0.74,0.0733,Subject C,0.5667,12,12,1.0,15,Wednesday,0.4
9,ENHS_SYN_0573,Grade 10,Section C,299,210,89,0.7023,0.2977,46,0.7517,0.6533,-0.0983,Subject C,0.6167,12,12,1.0,15,Monday,0.4237
10,ENHS_SYN_0214,Grade 8,Section B,299,211,88,0.7057,0.2943,45,0.7067,0.7047,-0.002,Subject D,0.6333,12,12,1.0,15,Tuesday,0.35
11,ENHS_SYN_0458,Grade 10,Section A,300,213,87,0.71,0.29,46,0.7133,0.7067,-0.0067,Subject C,0.5833,12,12,1.0,10,Friday,0.3667
12,ENHS_SYN_0499,Grade 10,Section A,300,213,87,0.71,0.29,48,0.7133,0.7067,-0.0067,Subject C,0.6333,12,12,1.0,12,Monday,0.3333
13,ENHS_SYN_0127,Grade 7,Section C,299,214,85,0.7157,0.2843,50,0.7267,0.7047,-0.022,Subject B,0.65,12,12,1.0,17,Friday,0.3167
14,ENHS_SYN_0138,Grade 7,Section C,298,213,85,0.7148,0.2852,50,0.76,0.6689,-0.0911,Subject E,0.661,12,12,1.0,12,Monday,0.3333
