Student_ID,Day_of_Week,Total_Sessions,Absence_Count,Absence_Rate
ENHS_SYN_0001,Friday,60,10,0.1667
ENHS_SYN_0001,Monday,60,9,0.15
ENHS_SYN_0001,Thursday,60,8,0.1333
ENHS_SYN_0001,Tuesday,60,9,0.15
ENHS_SYN_0001,Wednesday,60,5,0.0833
ENHS_SYN_0002,Friday,60,5,0.0833
ENHS_SYN_0002,Monday,60,10,0.1667
ENHS_SYN_0002,Thursday,60,8,0.1333
ENHS_SYN_0002,Tuesday,60,4,0.0667
ENHS_SYN_0002,Wednesday,60,6,0.1
ENHS_SYN_0003,Friday,60,17,0.2833
ENHS_SYN_0003,Monday,59,7,0.1186
ENHS_SYN_0003,Thursday,60,19,0.3167
ENHS_SYN_0003,Tuesday,60,12,0.2
ENHS_SYN_0003,Wednesday,60,18,0.3
ENHS_SYN_0004,Friday,60,10,0.1667
ENHS_SYN_0004,Monday,59,11,0.1864
ENHS_SYN_0004,Thursday,60,7,0.1167
ENHS_SYN_0004,Tuesday,60,10,0.1667
ENHS_SYN_0004,Wednesday,60,8,0.1333
ENHS_SYN_0005,Friday,60,20,0.3333
ENHS_SYN_0005,Monday,60,13,0.2167
ENHS_SYN_0005,Thursday,60,11,0.1833
ENHS_SYN_0005,Tuesday,60,15,0.25
ENHS_SYN_0005,Wednesday,60,12,0.2
ENHS_SYN_0006,Friday,60,14,0.2333
ENHS_SYN_0006,Monday,60,11,0.1833
ENHS_SYN_0006,Thursday,60,10,0.1667
ENHS_SYN_0006,Tuesday,60,15,0.25
ENHS_SYN_0006,Wednesday,59,19,0.322
ENHS_SYN_0007,Friday,59,19,0.322
ENHS_SYN_0007,Monday,60,12,0.2
ENHS_SYN_0007,Thursday,60,11,0.1833
ENHS_SYN_0007,Tuesday,60,11,0.1833
ENHS_SYN_0007,Wednesday,60,7,0.1167
ENHS_SYN_0008,Friday,60,3,0.05
ENHS_SYN_0008,Monday,59,7,0.1186
ENHS_SYN_0008,Thursday,60,6,0.1
ENHS_SYN_0008,Tuesday,60,2,0.0333
ENHS_SYN_0008,Wednesday,60,3,0.05
ENHS_SYN_0009,Friday,60,13,0.2167
ENHS_SYN_0009,Monday,60,14,0.2333
ENHS_SYN_0009,Thursday,60,26,0.4333
ENHS_SYN_0009,Tuesday,60,13,0.2167
ENHS_SYN_0009,Wednesday,60,9,0.15
ENHS_SYN_0010,Friday,60,6,0.1
ENHS_SYN_0010,Monday,60,10,0.1667
ENHS_SYN_0010,Thursday,59,5,0.0847
ENHS_SYN_0010,Tuesday,60,3,0.05
ENHS_SYN_0010,Wednesday,60,6,0.1
ENHS_SYN_0011,Friday,59,5,0.0847
ENHS_SYN_0011,Monday,60,4,0.0667
ENHS_SYN_0011,Thursday,59,7,0.1186
ENHS_SYN_0011,Tuesday,60,3,0.05
ENHS_SYN_0011,Wednesday,60,5,0.0833
ENHS_SYN_0012,Friday,60,12,0.2
ENHS_SYN_0012,Monday,59,12,0.2034
ENHS_SYN_0012,Thursday,60,8,0.1333
ENHS_SYN_0012,Tuesday,60,13,0.2167
ENHS_SYN_0012,Wednesday,60,11,0.1833
ENHS_SYN_0013,Friday,60,7,0.1167
ENHS_SYN_0013,Monday,60,9,0.15
ENHS_SYN_0013,Thursday,60,5,0.0833
ENHS_SYN_0013,Tuesday,60,5,0.0833
ENHS_SYN_0013,Wednesday,60,10,0.1667
ENHS_SYN_0014,Friday,60,6,0.1
ENHS_SYN_0014,Monday,60,5,0.0833
ENHS_SYN_0014,Thursday,60,11,0.1833
ENHS_SYN_0014,Tuesday,59,4,0.0678
ENHS_SYN_0014,Wednesday,60,2,0.0333
ENHS_SYN_0015,Friday,60,4,0.0667
ENHS_SYN_0015,Monday,60,8,0.1333
ENHS_SYN_0015,Thursday,60,5,0.0833
ENHS_SYN_0015,Tuesday,60,4,0.0667
ENHS_SYN_0015,Wednesday,60,1,0.0167
ENHS_SYN_0016,Friday,60,1,0.0167
