Student_ID,Grade_Level,Section,Week,Total_Sessions,Present_Count,Absence_Count,Attendance_Rate,Has_Absence
ENHS_SYN_0001,Grade 7,Section A,2026-08-03,25,23,2,0.92,1
ENHS_SYN_0001,Grade 7,Section A,2026-08-10,25,20,5,0.8,1
ENHS_SYN_0001,Grade 7,Section A,2026-08-17,25,20,5,0.8,1
ENHS_SYN_0001,Grade 7,Section A,2026-08-24,25,23,2,0.92,1
ENHS_SYN_0001,Grade 7,Section A,2026-08-31,25,19,6,0.76,1
ENHS_SYN_0001,Grade 7,Section A,2026-09-07,25,25,0,1.0,0
ENHS_SYN_0001,Grade 7,Section A,2026-09-14,25,24,1,0.96,1
ENHS_SYN_0001,Grade 7,Section A,2026-09-21,25,21,4,0.84,1
ENHS_SYN_0001,Grade 7,Section A,2026-09-28,25,20,5,0.8,1
ENHS_SYN_0001,Grade 7,Section A,2026-10-05,25,19,6,0.76,1
ENHS_SYN_0001,Grade 7,Section A,2026-10-12,25,22,3,0.88,1
ENHS_SYN_0001,Grade 7,Section A,2026-10-19,25,23,2,0.92,1
ENHS_SYN_0002,Grade 7,Section A,2026-08-03,25,24,1,0.96,1
ENHS_SYN_0002,Grade 7,Section A,2026-08-10,25,24,1,0.96,1
ENHS_SYN_0002,Grade 7,Section A,2026-08-17,25,23,2,0.92,1
ENHS_SYN_0002,Grade 7,Section A,2026-08-24,25,22,3,0.88,1
ENHS_SYN_0002,Grade 7,Section A,2026-08-31,25,24,1,0.96,1
ENHS_SYN_0002,Grade 7,Section A,2026-09-07,25,21,4,0.84,1
ENHS_SYN_0002,Grade 7,Section A,2026-09-14,25,21,4,0.84,1
ENHS_SYN_0002,Grade 7,Section A,2026-09-21,25,23,2,0.92,1
ENHS_SYN_0002,Grade 7,Section A,2026-09-28,25,23,2,0.92,1
ENHS_SYN_0002,Grade 7,Section A,2026-10-05,25,22,3,0.88,1
ENHS_SYN_0002,Grade 7,Section A,2026-10-12,25,22,3,0.88,1
ENHS_SYN_0002,Grade 7,Section A,2026-10-19,25,18,7,0.72,1
ENHS_SYN_0003,Grade 7,Section A,2026-08-03,25,17,8,0.68,1
ENHS_SYN_0003,Grade 7,Section A,2026-08-10,25,18,7,0.72,1
ENHS_SYN_0003,Grade 7,Section A,2026-08-17,25,18,7,0.72,1
ENHS_SYN_0003,Grade 7,Section A,2026-08-24,25,22,3,0.88,1
ENHS_SYN_0003,Grade 7,Section A,2026-08-31,25,21,4,0.84,1
ENHS_SYN_0003,Grade 7,Section A,2026-09-07,25,18,7,0.72,1
ENHS_SYN_0003,Grade 7,Section A,2026-09-14,25,18,7,0.72,1
ENHS_SYN_0003,Grade 7,Section A,2026-09-21,25,17,8,0.68,1
ENHS_SYN_0003,Grade 7,Section A,2026-09-28,25,21,4,0.84,1
ENHS_SYN_0003,Grade 7,Section A,2026-10-05,25,19,6,0.76,1
ENHS_SYN_0003,Grade 7,Section A,2026-10-12,25,19,6,0.76,1
ENHS_SYN_0003,Grade 7,Section A,2026-10-19,24,18,6,0.75,1
ENHS_SYN_0004,Grade 7,Section A,2026-08-03,25,21,4,0.84,1
ENHS_SYN_0004,Grade 7,Section A,2026-08-10,25,23,2,0.92,1
ENHS_SYN_0004,Grade 7,Section A,2026-08-17,25,22,3,0.88,1
ENHS_SYN_0004,Grade 7,Section A,2026-08-24,25,23,2,0.92,1
ENHS_SYN_0004,Grade 7,Section A,2026-08-31,25,20,5,0.8,1
ENHS_SYN_0004,Grade 7,Section A,2026-09-07,25,20,5,0.8,1
