Absence_Rank,Student_ID,Grade_Level,Section,Total_Sessions,Absence_Count,Attendance_Rate,Absence_Frequency,Distinct_Absent_Days
1,ENHS_SYN_0417,Grade 9,Section C,300,97,0.6767,0.3233,54
2,ENHS_SYN_0410,Grade 9,Section C,300,97,0.6767,0.3233,52
3,ENHS_SYN_0264,Grade 8,Section C,299,94,0.6856,0.3144,53
4,ENHS_SYN_0452,Grade 10,Section A,300,91,0.6967,0.3033,50
5,ENHS_SYN_0494,Grade 10,Section A,300,91,0.6967,0.3033,50
6,ENHS_SYN_0208,Grade 8,Section B,300,90,0.7,0.3,49
7,ENHS_SYN_0162,Grade 8,Section A,300,90,0.7,0.3,49
8,ENHS_SYN_0573,Grade 10,Section C,299,89,0.7023,0.2977,46
9,ENHS_SYN_0360,Grade 9,Section B,300,89,0.7033,0.2967,48
10,ENHS_SYN_0214,Grade 8,Section B,299,88,0.7057,0.2943,45
11,ENHS_SYN_0499,Grade 10,Section A,300,87,0.71,0.29,48
12,ENHS_SYN_0458,Grade 10,Section A,300,87,0.71,0.29,46
13,ENHS_SYN_0406,Grade 9,Section C,298,85,0.7148,0.2852,45
14,ENHS_SYN_0138,Grade 7,Section C,298,85,0.7148,0.2852,50
15,ENHS_SYN_0127,Grade 7,Section C,299,85,0.7157,0.2843,50
16,ENHS_SYN_0324,Grade 9,Section A,300,85,0.7167,0.2833,51
17,ENHS_SYN_0267,Grade 8,Section C,300,84,0.72,0.28,46
18,ENHS_SYN_0576,Grade 10,Section C,299,83,0.7224,0.2776,45
19,ENHS_SYN_0334,Grade 9,Section A,299,83,0.7224,0.2776,49
20,ENHS_SYN_0475,Grade 10,Section A,297,82,0.7239,0.2761,49
21,ENHS_SYN_0150,Grade 7,Section C,300,82,0.7267,0.2733,46
22,ENHS_SYN_0184,Grade 8,Section A,300,82,0.7267,0.2733,46
23,ENHS_SYN_0444,Grade 9,Section C,298,82,0.7248,0.2752,49
24,ENHS_SYN_0054,Grade 7,Section B,300,81,0.73,0.27,46
25,ENHS_SYN_0047,Grade 7,Section A,300,81,0.73,0.27,50
26,ENHS_SYN_0343,Grade 9,Section A,300,81,0.73,0.27,48
27,ENHS_SYN_0394,Grade 9,Section B,299,81,0.7291,0.2709,44
28,ENHS_SYN_0579,Grade 10,Section C,300,80,0.7333,0.2667,48
29,ENHS_SYN_0204,Grade 8,Section B,300,79,0.7367,0.2633,47
