Student_ID,Grade_Level,Section,Subject,Date,Time,Attendance_Status,Original_Row,Rejection_Reason
,Grade 7,Section A,Subject A,2026-10-19,07:30,Absent,877,Missing Student_ID
ENHS_SYN_0004,Grade 7,Section A,Subject A,,07:30,Present,1177,Missing Date
ENHS_SYN_0006,Grade 7,Section A,Subject B,,08:30,Absent,1713,Missing Date
ENHS_SYN_0007,Grade 7,Section A,Subject E,2026-08-21,13:00,,1876,Missing Attendance_Status
,Grade 7,Section A,Subject C,2026-08-24,09:30,Absent,2179,Missing Student_ID
ENHS_SYN_0010,Grade 7,Section A,Subject E,2026-10-15,13:00,,2971,Missing Attendance_Status
ENHS_SYN_0011,Grade 7,Section A,Subject A,,07:30,Present,3092,Missing Date
ENHS_SYN_0011,Grade 7,Section A,Subject A,,07:30,Present,3247,Missing Date; Duplicate attendance record
ENHS_SYN_0012,Grade 7,Section A,Subject B,,08:30,Present,3478,Missing Date
ENHS_SYN_0014,Grade 7,Section A,Subject D,2026-09-08,10:30,,4035,Missing Attendance_Status
ENHS_SYN_0016,Grade 7,Section A,Subject B,2026-08-20,99:00,Present,4568,Invalid Time
ENHS_SYN_0017,Grade 7,Section A,Subject B,2026-08-21,08:30,,4873,Missing Attendance_Status
,Grade 7,Section A,Subject D,2026-08-17,10:30,Present,5455,Missing Student_ID
ENHS_SYN_0019,Grade 7,Section A,Subject D,2026-09-08,10:30,,5535,Missing Attendance_Status
ENHS_SYN_0020,Grade 7,Section A,Subject D,2026-09-29,10:30,,5910,Missing Attendance_Status
ENHS_SYN_0022,Grade 7,Section A,Subject B,2026-09-21,not-a-time,Present,6478,Invalid Time
ENHS_SYN_0025,Grade 7,Section A,Subject E,,13:00,Present,7386,Missing Date
ENHS_SYN_0026,Grade 7,Section A,Subject D,2026-08-07,99:00,Absent,7525,Invalid Time
ENHS_SYN_0028,Grade 7,Section A,Subject B,,08:30,Absent,8363,Missing Date
ENHS_SYN_0035,Grade 7,Section A,Subject A,2026-09-07,07:30,,10327,Missing Attendance_Status
ENHS_SYN_0036,Grade 7,Section A,Subject E,2026-08-24,13:00,,10581,Missing Attendance_Status
ENHS_SYN_0038,Grade 7,Section A,Subject C,2026-10-21,09:30,,11389,Missing Attendance_Status
ENHS_SYN_0040,Grade 7,Section A,Subject A,,07:30,Present,11757,Missing Date
,Grade 7,Section A,Subject B,2026-09-10,08:30,Present,11843,Missing Student_ID
ENHS_SYN_0050,Grade 7,Section A,Subject D,2026-09-24,25:61,Present,14895,Invalid Time
,Grade 7,Section B,Subject C,2026-08-31,09:30,Present,16304,Missing Student_ID
ENHS_SYN_0055,Grade 7,Section B,Subject D,2026-09-30,25:61,Present,16415,Invalid Time
ENHS_SYN_0062,Grade 7,Section B,Subject A,not-a-date,07:30,Present,18367,Invalid Date
,Grade 7,Section B,Subject C,2026-08-21,09:30,Present,19874,Missing Student_ID
,Grade 7,Section B,Subject B,2026-09-25,08:30,Present,20298,Missing Student_ID
,Grade 7,Section B,Subject A,2026-09-04,07:30,Present,20522,Missing Student_ID
,Grade 7,Section B,Subject A,2026-09-21,07:30,Present,20577,Missing Student_ID
