Student_ID,Grade_Level,Section,Historical_Attendance_Rate,Historical_Total_Absences,Historical_Absence_Frequency,Frequently_Absent_Days_Count,Lowest_Subject_Attendance_Rate,First_Half_Attendance_Rate,Second_Half_Attendance_Rate,Attendance_Trend_Change,Predicted_Risk,Recommendation,Recommendation_Basis,Recommendation_Priority
ENHS_SYN_0410,Grade 9,Section C,0.68,64,0.32,34,0.6,0.63,0.73,0.1,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0417,Grade 9,Section C,0.68,64,0.32,36,0.6,0.69,0.67,-0.02,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0372,Grade 9,Section B,0.735,53,0.265,30,0.7,0.77,0.7,-0.07,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0444,Grade 9,Section C,0.735,53,0.265,32,0.6,0.71,0.76,0.05,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0324,Grade 9,Section A,0.74,52,0.26,34,0.7,0.75,0.73,-0.02,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0048,Grade 7,Section A,0.745,51,0.255,29,0.7,0.74,0.75,0.01,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0230,Grade 8,Section B,0.745,51,0.255,30,0.7,0.77,0.72,-0.05,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0003,Grade 7,Section A,0.75,50,0.25,30,0.6,0.76,0.74,-0.02,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0009,Grade 7,Section A,0.75,50,0.25,30,0.65,0.75,0.75,0.0,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0300,Grade 8,Section C,0.75,50,0.25,28,0.7,0.73,0.77,0.04,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0431,Grade 9,Section C,0.755,49,0.245,28,0.7,0.72,0.79,0.07,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0074,Grade 7,Section B,0.76,48,0.24,28,0.675,0.77,0.75,-0.02,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0101,Grade 7,Section C,0.76,48,0.24,28,0.7,0.74,0.78,0.04,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0394,Grade 9,Section B,0.76,48,0.24,28,0.7,0.78,0.74,-0.04,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0234,Grade 8,Section B,0.765,47,0.235,31,0.625,0.79,0.74,-0.05,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0511,Grade 10,Section B,0.765,47,0.235,28,0.675,0.73,0.8,0.07,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0585,Grade 10,Section C,0.765,47,0.235,33,0.675,0.77,0.76,-0.01,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0026,Grade 7,Section A,0.77,46,0.23,30,0.65,0.83,0.71,-0.12,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0053,Grade 7,Section B,0.775,45,0.225,30,0.725,0.81,0.74,-0.07,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0111,Grade 7,Section C,0.775,45,0.225,27,0.675,0.83,0.72,-0.11,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0428,Grade 9,Section C,0.78,44,0.22,28,0.725,0.82,0.74,-0.08,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0050,Grade 7,Section A,0.785,43,0.215,26,0.725,0.81,0.76,-0.05,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0476,Grade 10,Section A,0.795,41,0.205,26,0.725,0.81,0.78,-0.03,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0503,Grade 10,Section B,0.795,41,0.205,28,0.725,0.73,0.86,0.13,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0294,Grade 8,Section C,0.8,40,0.2,29,0.725,0.76,0.84,0.08,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0468,Grade 10,Section A,0.8,40,0.2,25,0.75,0.75,0.85,0.1,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0369,Grade 9,Section B,0.81,38,0.19,26,0.75,0.79,0.83,0.04,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0363,Grade 9,Section B,0.815,37,0.185,22,0.725,0.8,0.83,0.03,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0148,Grade 7,Section C,0.82,36,0.18,26,0.775,0.82,0.82,0.0,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0432,Grade 9,Section C,0.82,36,0.18,25,0.7,0.84,0.8,-0.04,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0035,Grade 7,Section A,0.825,35,0.175,23,0.775,0.8,0.85,0.05,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0512,Grade 10,Section B,0.825,35,0.175,24,0.775,0.8,0.85,0.05,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0441,Grade 9,Section C,0.83,34,0.17,23,0.775,0.87,0.79,-0.08,High Risk,Refer for appropriate intervention; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,High
ENHS_SYN_0471,Grade 10,Section A,0.83,34,0.17,24,0.75,0.81,0.85,0.04,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0544,Grade 10,Section B,0.83,34,0.17,25,0.725,0.8,0.86,0.06,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0530,Grade 10,Section B,0.835,33,0.165,23,0.775,0.79,0.88,0.09,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0263,Grade 8,Section C,0.84,32,0.16,23,0.75,0.83,0.85,0.02,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0378,Grade 9,Section B,0.84,32,0.16,25,0.775,0.82,0.86,0.04,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0285,Grade 8,Section C,0.845,31,0.155,25,0.775,0.84,0.85,0.01,High Risk,Refer for appropriate intervention,Decision Tree absenteeism risk classification,High
ENHS_SYN_0129,Grade 7,Section C,0.84,32,0.16,22,0.75,0.88,0.8,-0.08,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0242,Grade 8,Section B,0.845,31,0.155,23,0.75,0.86,0.83,-0.03,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0292,Grade 8,Section C,0.845,31,0.155,23,0.8,0.9,0.79,-0.11,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0531,Grade 10,Section B,0.845,31,0.155,25,0.75,0.88,0.81,-0.07,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0518,Grade 10,Section B,0.85,30,0.15,24,0.75,0.83,0.87,0.04,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0082,Grade 7,Section B,0.855,29,0.145,23,0.775,0.85,0.86,0.01,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0519,Grade 10,Section B,0.855,29,0.145,20,0.825,0.83,0.88,0.05,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0029,Grade 7,Section A,0.86,28,0.14,21,0.8,0.89,0.83,-0.06,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0207,Grade 8,Section B,0.86,28,0.14,20,0.8,0.83,0.89,0.06,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0228,Grade 8,Section B,0.86,28,0.14,19,0.825,0.86,0.86,0.0,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0268,Grade 8,Section C,0.86,28,0.14,20,0.775,0.8,0.92,0.12,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0303,Grade 9,Section A,0.86,28,0.14,22,0.825,0.83,0.89,0.06,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0147,Grade 7,Section C,0.865,27,0.135,20,0.8,0.89,0.84,-0.05,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0366,Grade 9,Section B,0.865,27,0.135,21,0.825,0.87,0.86,-0.01,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0507,Grade 10,Section B,0.865,27,0.135,23,0.85,0.89,0.84,-0.05,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0278,Grade 8,Section C,0.87,26,0.13,21,0.825,0.89,0.85,-0.04,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0509,Grade 10,Section B,0.87,26,0.13,21,0.8,0.84,0.9,0.06,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0107,Grade 7,Section C,0.875,25,0.125,20,0.825,0.88,0.87,-0.01,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0309,Grade 9,Section A,0.875,25,0.125,18,0.8,0.86,0.89,0.03,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0523,Grade 10,Section B,0.875,25,0.125,22,0.825,0.87,0.88,0.01,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0557,Grade 10,Section C,0.875,25,0.125,18,0.825,0.87,0.88,0.01,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0591,Grade 10,Section C,0.88,24,0.12,20,0.825,0.88,0.88,0.0,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0246,Grade 8,Section B,0.885,23,0.115,21,0.85,0.89,0.88,-0.01,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0397,Grade 9,Section B,0.885,23,0.115,19,0.825,0.9,0.87,-0.03,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0231,Grade 8,Section B,0.89,22,0.11,18,0.825,0.91,0.87,-0.04,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0453,Grade 10,Section A,0.89,22,0.11,18,0.85,0.9,0.88,-0.02,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0137,Grade 7,Section C,0.895,21,0.105,18,0.825,0.89,0.9,0.01,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0271,Grade 8,Section C,0.895,21,0.105,15,0.85,0.88,0.91,0.03,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0420,Grade 9,Section C,0.895,21,0.105,18,0.85,0.89,0.9,0.01,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0566,Grade 10,Section C,0.895,21,0.105,19,0.825,0.89,0.9,0.01,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0057,Grade 7,Section B,0.9,20,0.1,15,0.85,0.86,0.94,0.08,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0120,Grade 7,Section C,0.9,20,0.1,16,0.875,0.92,0.88,-0.04,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0486,Grade 10,Section A,0.9,20,0.1,16,0.775,0.88,0.92,0.04,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0545,Grade 10,Section B,0.9,20,0.1,17,0.85,0.92,0.88,-0.04,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
